Cód;Causa;ene-19;feb-19;mar-19;abr-19;may-19;jun-19;jul-19;ago-19;sept-19;oct-19;nov-19;dic-19;ene-20;feb-20;mar-20;abr-20;may-20;jun-20;jul-20;ago-20;sept-20;oct-20;nov-20;dic-20;ene-21;feb-21;mar-21;abr-21;may-21;jun-21;jul-21;ago-21;sept-21;oct-21;nov-21;dic-21;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sept-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sept-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0105;Accesibilidad;5;3;3;6;6;6;9;12;6;6;4;9;16;11;3;2;1;8;10;5;8;7;5;7;3;6;8;8;6;11;18;3;10;3;9;6;3;9;3;1;9;2;4;5;5;23;8;10;3;9;3;1;9;2;4;5;5;23;8;10;7;14;19;4;7;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0106;Accesibilidad PMR;13;24;14;18;20;11;12;10;17;22;23;17;29;18;8;0;1;2;4;8;1;3;2;9;1;10;6;3;7;10;9;10;12;11;5;9;6;5;13;12;10;8;4;10;11;6;7;11;6;5;13;12;10;8;4;10;11;6;7;11;9;15;10;7;12;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0114;Acceso con animales y objetos;7;9;11;15;9;10;5;9;13;10;9;9;9;10;4;2;2;4;7;6;6;44;5;6;7;4;9;8;9;5;7;1;12;6;6;3;7;3;9;3;10;17;8;7;5;12;5;4;7;3;9;3;10;17;8;7;5;12;5;4;11;10;12;14;9;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0701;Accidentes;41;49;62;44;39;45;18;6;26;29;19;16;24;21;8;1;9;7;6;6;7;6;16;7;24;7;5;4;10;10;12;9;9;8;12;13;9;11;16;12;7;15;5;12;13;29;16;20;9;11;16;12;7;15;5;12;13;29;16;20;23;22;29;10;21;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0613;Actividades molestas de otros clientes;6;6;6;12;8;13;8;4;9;13;9;5;8;4;5;1;2;4;8;6;4;2;3;1;0;1;2;3;0;5;3;2;3;7;7;1;1;1;2;3;7;12;6;3;4;4;3;3;1;1;2;3;7;12;6;3;4;4;3;3;9;10;7;12;9;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0612;Actividades molestas por obras y trabajos red;2;2;1;0;1;2;4;3;1;3;1;0;2;2;2;0;2;1;2;2;1;1;2;2;0;0;1;0;0;2;4;2;3;2;1;3;1;1;2;0;0;0;0;2;1;0;0;0;1;1;2;0;0;0;0;2;1;0;0;0;3;0;5;8;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0704;Actividades no permitidas en metro;25;21;25;15;15;19;20;14;20;22;22;24;22;14;13;9;11;14;19;45;49;54;52;27;43;29;24;23;31;33;42;37;25;29;29;36;17;21;26;35;151;223;263;153;152;226;200;181;17;21;26;35;151;223;263;153;152;226;200;181;18;19;18;21;18;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0206;Adquisición título externa metro;64;50;58;55;62;57;64;45;68;44;43;54;66;59;394;135;137;106;79;53;64;49;45;56;64;51;29;39;37;37;24;40;33;50;39;52;52;47;44;44;53;38;34;43;63;83;63;75;52;47;44;44;53;38;34;43;63;83;63;75;108;82;77;89;120;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0901;Ajenas a metro;6;7;13;13;10;8;14;6;13;5;10;16;14;12;14;7;3;11;5;6;15;9;13;7;15;11;9;93;5;7;1;11;3;6;6;7;11;7;17;3;15;8;4;11;8;6;8;7;11;7;17;3;15;8;4;11;8;6;8;7;12;7;8;9;11;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0501;Atención de agente;44;40;57;62;53;65;54;41;49;55;38;40;40;40;28;4;16;24;26;29;24;24;31;31;35;24;35;27;27;24;34;24;26;19;34;43;32;38;43;30;37;36;27;38;55;28;43;42;32;38;43;30;37;36;27;38;55;28;43;42;50;42;29;35;45;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0503;Atención de personal contratado;1;2;3;3;2;0;3;0;4;4;1;2;0;1;1;0;0;0;1;2;0;0;1;1;6;2;2;3;1;1;0;1;2;3;1;3;1;3;2;0;1;0;1;1;3;3;3;3;1;3;2;0;1;0;1;1;3;3;3;3;2;4;0;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0502;Atención de personal seguridad;14;15;25;26;19;25;22;19;20;25;13;16;13;14;9;9;11;25;19;16;15;15;15;13;20;11;20;10;24;20;12;9;8;10;15;14;17;15;20;20;22;35;16;21;20;23;12;19;17;15;20;20;22;35;16;21;20;23;12;19;8;12;16;22;21;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0505;Canje cambio de tarifa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0506;Canje títulos defectuosos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0107;Cobertura;1;2;3;0;0;0;2;1;0;2;3;1;0;0;2;1;0;0;2;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;3;0;1;1;2;3;0;2;4;6;2;0;3;0;1;1;2;3;0;2;4;6;2;2;3;1;7;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0507;Compensación económica;18;18;18;18;17;12;55;124;96;46;22;22;20;22;0;4;2;8;3;7;9;10;7;4;9;2;6;17;8;7;25;6;3;13;4;19;9;14;43;17;23;14;20;19;19;18;16;46;9;14;43;17;23;14;20;19;19;18;16;46;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0601;Conservación estaciones;9;8;8;8;7;5;4;24;12;13;14;13;12;10;2;1;0;5;4;5;7;9;10;8;6;5;4;2;3;3;0;9;19;13;5;4;4;1;8;4;3;3;5;3;2;6;3;12;4;1;8;4;3;3;5;3;2;6;3;12;8;10;9;5;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0602;Conservación trenes;5;4;5;4;4;1;12;3;11;9;9;2;2;5;1;0;0;0;0;0;0;0;2;1;1;5;1;0;2;1;0;5;3;2;2;1;1;1;1;2;1;3;2;0;2;4;2;6;1;1;1;2;1;3;2;0;2;4;2;6;3;5;6;4;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0801;Contaminación acústica;5;5;10;9;5;10;15;7;5;6;3;4;6;9;15;10;17;31;11;10;12;10;18;13;15;11;5;10;12;7;17;13;16;8;11;17;14;17;7;17;20;17;8;14;22;26;12;10;14;17;7;17;20;17;8;14;22;26;12;10;12;23;4;22;29;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0108;Correspondencia entre trenes;10;4;8;11;8;12;10;17;16;4;9;1;6;4;2;2;0;4;1;7;8;2;5;1;1;3;1;3;2;2;2;2;1;1;5;7;3;5;2;1;5;10;7;4;10;3;10;7;3;5;2;1;5;10;7;4;10;3;10;7;7;5;4;5;10;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0504;Disponibilidad de personal;34;38;33;29;23;27;39;43;57;38;19;14;7;11;8;6;5;11;11;9;16;13;9;11;3;7;5;6;10;6;9;3;9;9;9;6;5;2;5;8;8;26;20;18;16;10;15;16;5;2;5;8;8;26;20;18;16;10;15;16;17;13;10;19;21;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0306;Disponibilidad e información web/app;16;9;6;12;4;2;10;13;12;9;5;3;8;5;0;2;1;0;3;3;2;2;1;3;1;0;2;4;0;3;2;4;3;2;6;0;0;2;4;5;0;3;0;3;1;1;1;2;0;2;4;5;0;3;0;3;1;1;1;2;4;1;1;3;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0508;Emisión de recibo;3;7;5;1;3;1;3;2;5;3;3;2;9;3;2;1;0;2;1;0;1;1;1;0;0;0;1;1;0;2;2;0;1;0;1;2;0;1;2;4;2;1;0;1;3;4;1;3;0;1;2;4;2;1;0;1;3;4;1;3;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
