Código_estación;nombre_estación;ene-15;feb-15;mar-15;abr-15;may-15;jun-15;jul-15;ago-15;sept-15;oct-15;nov-15;dic-15;ene-16;feb-16;mar-16;abr-16;may-16;jun-16;jul-16;ago-16;sept-16;oct-16;nov-16;dic-16;ene-17;feb-17;mar-17;abr-17;may-17;jun-17;jul-17;ago-17;sept-17;oct-17;nov-17;dic-17;ene-18;feb-18;mar-18;abr-18;may-18;jun-18;jul-18;ago-18;sept-18;oct-18;nov-18;dic-18;ene-19;feb-19;mar-19;abr-19;may-19;jun-19;jul-19;ago-19;sept-19;oct-19;nov-19;dic-19;ene-20;feb-20;mar-20;abr-20;may-20;jun-20;jul-20;ago-20;sept-20;oct-20;nov-20;dic-20;ene-21;feb-21;mar-21;abr-21;may-21;jun-21;jul-21;ago-21;sept-21;oct-21;nov-21;dic-21;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sept-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sept-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sept-24;oct-24
101;Plaza de Castilla;982.844;997.328;1.074.249;1.028.264;1.035.880;1.001.026;905.925;607.344;982.711;1.111.951;1.060.111;1.007.934;977.028;1.060.458;1.024.414;1.093.052;1.051.678;1.044.271;899.928;668.088;1.009.110;1.045.932;1.063.424;994.698;1.029.158;1.056.067;1.181.713;1.004.156;1.104.122;1.115.663;951.366;712.715;1.070.533;1.176.918;1.141.511;1.026.164;1.123.321;1.120.358;1.147.774;1.179.201;1.144.453;1.142.164;1.032.044;735.194;1.095.426;1.274.350;1.195.137;1.090.085;1.188.809;1.175.766;1.265.008;1.138.972;1.187.173;1.188.184;1.114.316;766.984;1.173.850;1.357.483;1.267.597;1.119.132;1.227.029;1.250.746;563.501;111.680;215.399;483.380;608.456;454.893;636.003;671.963;661.985;663.192;544.501;663.009;772.508;733.802;773.278;817.904;750.879;575.140;889.363;1.000.694;992.145;848.696;804.884;920.263;1.099.428;948.967;1.035.750;1.027.000;878.294;673.916;1.093.369;1.171.941;1.178.731;1.049.137;1.129.554;1.216.394;1.387.303;1.203.115;1.306.553;1.308.380;1.102.301;820.036;1.265.550;1.424.936;1.422.584;1.260.437;1.307.378;1.375.250;1.299.031;1.432.426;1.352.632;1.299.320;1.193.890;994.285;1.360.534;1.533.764
102;Valdeacederas;200.599;204.825;219.247;210.486;214.752;207.002;188.927;132.405;202.454;231.117;223.057;217.814;208.010;224.458;213.211;224.419;219.605;207.737;12.744;0;78.706;161.508;189.935;203.906;213.356;217.111;241.675;209.286;236.013;235.449;199.894;149.299;221.085;243.827;241.341;225.665;238.797;237.988;246.593;251.229;255.575;255.468;204.188;129.361;187.294;233.357;241.787;229.695;241.157;234.990;252.444;231.999;241.775;236.145;214.656;155.829;229.093;269.730;260.168;241.936;247.725;247.707;112.118;20.662;45.604;102.154;127.803;96.168;125.047;137.158;135.408;138.303;135.910;135.103;156.140;152.672;162.384;167.180;150.257;122.102;177.698;196.415;201.096;181.894;169.804;187.257;223.016;193.500;211.097;205.595;178.181;137.373;203.404;222.027;225.257;215.410;223.122;223.395;245.999;220.152;243.853;239.021;195.130;151.819;215.437;254.485;245.356;238.554;244.734;252.450;246.934;262.157;260.069;244.763;217.057;167.995;241.860;283.055
103;Tetuán;246.994;249.082;265.117;254.467;265.918;256.255;235.950;166.286;248.698;286.048;276.058;266.728;260.510;278.433;272.187;287.168;276.641;261.903;16.136;0;102.691;210.415;247.545;265.860;268.992;272.830;302.611;267.222;295.374;295.645;256.329;194.691;284.031;317.416;310.820;294.937;308.282;305.067;316.884;321.021;316.826;274.919;236.906;192.497;291.387;329.791;315.603;302.474;313.938;306.805;328.675;301.413;310.952;299.132;273.122;197.907;291.262;342.544;329.942;309.132;315.049;314.621;138.837;24.421;56.770;126.963;154.683;119.320;160.276;173.058;172.160;178.672;171.387;172.558;202.952;196.172;206.785;212.930;199.204;154.320;228.762;259.468;264.075;244.809;225.130;245.928;288.994;258.195;276.023;267.065;235.058;183.252;272.781;298.247;294.651;283.843;290.262;294.216;328.687;294.211;320.425;314.052;262.444;199.005;281.215;326.583;320.750;305.786;312.374;323.458;320.807;344.469;338.658;322.246;288.831;219.270;314.778;359.873
104;Estrecho;345.734;343.588;366.077;349.846;362.671;348.447;315.850;220.400;339.915;401.433;388.476;377.630;363.010;387.238;377.315;397.951;382.736;365.180;21.813;0;128.871;263.354;318.961;349.410;361.714;373.394;415.453;362.969;403.414;402.122;345.254;263.446;387.938;430.491;427.485;405.455;426.795;428.272;438.848;453.194;454.754;439.333;404.909;279.938;397.407;470.253;453.082;425.942;440.145;431.795;468.014;431.439;450.008;428.991;390.020;279.382;415.213;486.271;468.263;435.206;444.714;444.345;199.226;35.386;75.261;175.823;222.187;176.421;230.323;248.745;249.962;254.736;238.707;247.863;285.423;275.308;295.902;303.873;271.778;211.556;317.355;358.593;364.770;329.547;307.066;337.408;396.063;354.255;382.478;368.440;317.488;247.220;380.437;416.229;417.706;402.126;412.547;417.930;464.020;410.553;449.193;436.191;343.407;258.856;387.259;455.615;454.156;426.279;433.787;451.066;441.052;473.143;466.350;443.864;392.382;289.144;434.923;498.198
105;Alvarado;144.302;142.742;152.046;146.291;153.679;147.430;136.095;98.371;143.906;165.968;160.541;161.672;154.104;161.075;153.480;160.504;158.491;147.434;9.407;0;39.995;85.186;124.555;150.949;151.749;155.926;171.880;154.131;168.814;165.674;139.731;107.294;153.726;170.693;170.408;169.724;172.216;169.953;178.779;180.140;181.478;176.036;158.533;113.886;156.767;184.835;180.642;178.407;180.102;176.131;188.525;173.909;181.023;174.629;159.554;117.788;165.558;195.710;190.542;186.128;181.959;179.746;80.713;12.683;32.277;77.237;95.063;77.034;95.066;105.095;102.263;111.861;102.133;108.801;129.510;126.368;135.872;139.114;125.527;101.063;140.154;158.789;162.759;154.365;135.955;146.818;172.979;156.980;164.424;159.124;141.565;114.482;163.682;177.542;176.824;178.932;176.883;176.798;198.171;180.046;196.250;189.631;148.897;114.544;161.620;190.665;194.525;192.938;186.233;191.604;192.943;199.669;198.581;192.476;172.172;137.702;186.727;212.463
106;Cuatro Caminos;499.747;505.680;538.766;523.035;535.549;509.991;459.409;323.302;505.167;592.175;564.492;558.641;516.267;558.594;540.573;576.903;556.973;532.782;659.477;532.285;688.259;686.900;649.370;591.743;565.447;587.645;641.941;553.255;621.203;595.596;495.190;371.413;605.040;650.433;637.512;597.220;602.636;605.678;617.464;626.230;625.571;596.299;510.990;370.798;566.602;674.510;647.179;612.131;614.662;610.624;652.919;579.823;611.921;606.863;537.288;387.610;622.096;707.372;675.057;622.629;632.154;658.447;287.191;48.870;105.016;235.186;293.269;229.195;306.287;339.132;338.245;348.498;300.434;319.581;361.627;347.598;371.715;378.126;333.085;255.291;409.469;477.312;480.817;430.329;390.958;447.925;524.503;459.529;500.127;480.826;403.014;294.024;496.689;566.426;565.853;549.712;543.996;569.029;633.635;556.123;603.783;587.908;497.171;374.514;570.161;650.398;644.316;612.660;590.460;641.273;620.393;668.327;645.883;608.284;533.395;398.416;615.949;712.974
107;Ríos Rosas;181.220;183.650;184.852;171.946;172.740;163.705;142.613;83.199;168.152;200.380;191.056;175.408;166.676;192.367;178.179;191.956;181.942;168.946;9.343;0;0;0;96.371;154.047;160.658;174.382;192.909;157.246;181.439;181.230;142.523;92.579;176.807;206.177;205.122;176.639;193.587;203.472;207.451;211.654;207.395;199.232;167.459;97.586;186.100;230.653;217.684;189.302;210.358;221.840;234.090;208.880;213.342;205.646;175.863;107.966;203.264;251.069;236.404;198.894;216.997;219.657;91.526;11.435;22.688;56.892;74.287;51.353;84.481;97.746;98.098;94.736;89.486;98.780;112.993;110.954;115.404;119.727;104.406;72.070;142.403;168.793;178.356;141.154;131.432;158.671;196.034;158.813;170.698;162.045;127.051;88.926;175.309;195.371;196.433;180.279;189.798;202.008;220.038;175.988;198.472;187.218;123.112;86.268;162.966;209.467;210.472;179.782;194.940;212.881;195.740;214.823;198.747;186.494;154.412;99.753;197.377;241.185
108;Iglesia;262.562;262.750;277.164;263.736;268.022;255.951;219.962;131.630;241.502;289.677;278.055;264.225;263.733;288.557;274.748;299.799;290.060;268.695;14.037;0;0;0;152.428;244.377;257.664;268.372;299.835;252.204;293.414;287.908;245.743;158.761;264.663;308.141;307.725;276.248;305.476;305.508;307.339;317.930;316.461;307.138;255.096;146.943;269.204;337.243;326.527;288.281;326.652;317.751;335.662;305.814;320.881;306.612;261.258;163.583;293.701;368.516;358.478;309.315;329.133;327.479;139.322;23.559;47.039;106.790;126.983;88.288;139.793;156.312;154.293;154.479;140.853;157.007;177.514;174.939;180.086;188.295;157.853;109.822;203.594;237.049;247.897;210.333;198.704;227.477;277.065;231.579;249.271;243.218;191.523;133.571;247.953;277.853;284.877;263.366;275.284;285.783;311.983;265.240;300.000;281.386;181.559;126.571;222.997;295.138;301.819;272.478;296.750;311.102;289.469;318.900;302.642;283.767;238.589;160.279;282.303;335.317
109;Bilbao;402.139;396.524;414.743;398.691;397.870;380.119;326.481;211.405;362.172;425.208;414.977;400.958;394.593;411.729;394.510;421.607;399.141;384.980;179.470;112.649;197.652;224.544;325.820;390.179;400.304;411.784;441.252;371.099;406.536;398.209;341.303;232.826;378.978;431.315;427.877;401.232;420.681;421.263;431.081;429.457;414.333;396.562;343.261;222.009;367.000;443.973;434.891;406.452;444.973;440.754;464.917;420.720;426.611;390.607;297.840;131.379;212.893;387.773;390.738;359.774;326.266;290.821;133.944;17.915;42.846;114.311;146.085;104.020;160.648;179.785;177.088;185.520;171.128;185.759;213.524;208.331;217.665;226.805;198.728;142.792;253.173;298.933;307.431;273.207;254.924;289.190;345.479;300.822;314.031;309.313;251.206;179.703;313.313;358.530;361.090;351.760;366.561;368.589;403.275;346.951;376.964;356.196;251.715;173.715;295.575;387.423;393.344;378.518;385.357;407.941;388.915;410.356;389.697;374.576;324.563;225.340;372.015;434.705
110;Tribunal;360.630;360.511;379.415;364.519;377.891;360.526;318.371;215.167;355.317;433.955;411.575;405.432;377.983;394.328;387.908;415.865;396.495;374.659;232.037;165.426;277.745;306.526;380.105;430.955;410.638;398.207;429.199;398.798;428.607;424.166;387.738;278.966;414.262;482.819;469.226;461.045;458.811;456.895;477.065;486.073;468.592;444.864;394.386;278.759;469.312;556.375;538.403;537.426;543.799;531.285;571.394;508.995;539.244;522.044;457.972;332.959;536.697;596.289;577.949;544.199;564.902;577.964;216.292;22.979;53.742;149.346;197.376;148.885;218.122;251.784;236.888;266.812;228.838;253.010;295.554;285.115;301.331;315.617;266.207;193.464;329.302;390.247;386.254;342.304;319.649;352.332;403.718;361.021;370.587;363.140;318.760;230.837;388.898;451.839;447.736;442.318;449.108;461.593;507.464;450.959;465.553;443.344;317.483;228.905;378.645;482.806;494.120;485.862;471.826;487.510;488.299;503.775;486.288;452.115;400.752;292.380;463.495;550.828
